image,question,crop,truth,pred,reason,count_A,count_B,count_C,count_D,baseline_A,baseline_B,baseline_C,baseline_D,score_A,score_B,score_C,score_D,picked_A,picked_B,picked_C,picked_D
40d7f93dd51a54440d0b.jpg,15,answer_1.png,B,AB,false_positive,1848,2184,1368,1393,1258,1334,1334,1324,0.3748500822804228,0.5571871958757463,0.012743628185907047,0.03336734333315666,True,True,False,False
e42559f375d4f48aadc5.jpg,11,answer_1.png,C,CD,false_positive,1344,1543,4764,4572,1344,1551,1650,1590,0.0,0.05922619047619048,1.9614935064935066,1.8984501347708895,False,False,True,True
e42559f375d4f48aadc5.jpg,12,answer_1.png,B,BCD,false_positive,1355,4526,7140,7140,1344,1551,1650,1590,0.004092261904761905,1.895147232710238,3.3713854411271384,3.453032096358699,False,True,True,True
e42559f375d4f48aadc5.jpg,13,answer_1.png,D,CD,false_positive,1382,4137,7021,7021,1344,1551,1650,1590,0.014136904761904762,1.6310507855909218,3.2597031092400126,3.3399889868843804,False,False,True,True
e42559f375d4f48aadc5.jpg,14,answer_1.png,A,CD,mixed_fp_fn,2210,4351,7140,7140,1344,1551,1650,1590,0.32217261904761907,1.29015476805214,2.555944055944056,2.637590711175617,False,False,True,True
e42559f375d4f48aadc5.jpg,15,answer_1.png,B,BCD,false_positive,1416,5007,7021,7021,1344,1551,1650,1590,0.026785714285714284,2.1285267022915777,3.210909090909091,3.291194968553459,False,True,True,True
e42559f375d4f48aadc5.jpg,26,answer_2.png,A,ABC,false_positive,4210,3343,3058,1487,1683,1409,1614,1487,1.4832242277196588,1.1855625976346698,0.8699316421793504,0.0,True,True,True,False
e42559f375d4f48aadc5.jpg,27,answer_2.png,A,ABC,false_positive,7140,7140,7140,3456,1683,1409,1614,1487,2.04760101010101,2.4601007412664617,2.1382847996695578,0.6620712844653666,True,True,True,False
e42559f375d4f48aadc5.jpg,28,answer_2.png,B,ABC,false_positive,7021,7021,7021,4710,1683,1409,1614,1487,1.7821218554976517,2.187746591143679,1.8712942485733906,1.0837256220578346,True,True,True,False
e42559f375d4f48aadc5.jpg,29,answer_2.png,A,ABC,false_positive,7140,7140,7140,5489,1683,1409,1614,1487,1.7415254751928098,2.1540252063582614,1.8322092647613577,1.3456624075319434,True,True,True,False
e42559f375d4f48aadc5.jpg,30,answer_2.png,D,ABC,mixed_fp_fn,7021,7021,7021,6270,1683,1409,1614,1487,1.6337692716640084,2.039394007310036,1.7229416647397473,1.6082716879623402,True,True,True,False
020c2de101c68098d9d7.jpg,9,answer_1.png,C,AC,false_positive,1476,1125,1419,1191,1481,1174,1189,1219,0.12480000000000001,0.0,0.20125326604990187,0.023466666666666667,True,False,True,False
1567c1e9ecce6d9034df.jpg,9,answer_1.png,C,ABC,false_positive,1479,1415,1389,1172,1479,1456,1210,1238,0.10477815699658705,0.08293515358361775,0.1480283755958593,0.0,True,True,True,False
502b9fc8b3ef32b16bfe.jpg,8,answer_1.png,C,AC,false_positive,1555,1250,1506,1230,1605,1250,1243,1236,0.10569105691056911,0.006504065040650407,0.19554853521182036,0.0,True,False,True,False
502b9fc8b3ef32b16bfe.jpg,9,answer_1.png,C,AC,false_positive,1564,1220,1435,1221,1605,1250,1243,1236,0.11278688524590164,0.0,0.1477243052899516,0.0003278688524590164,True,False,True,False
14405a4e7669f737ae78.jpg,8,answer_1.png,D,AB,mixed_fp_fn,6795,5375,1496,2521,6795,5375,1547,1476,1.4168449197860964,1.0371657754010695,0.0,0.6280614610958944,True,True,False,False
14405a4e7669f737ae78.jpg,10,answer_1.png,C,AB,mixed_fp_fn,7131,6199,2315,1476,6795,5375,1547,1476,1.5572443870134067,1.3565969622486922,0.47559363958216183,0.0,True,True,False,False
14405a4e7669f737ae78.jpg,11,answer_1.png,B,AB,false_positive,6900,6481,1529,1436,6795,5375,1547,1476,1.5297318403463138,1.5081762000388677,0.025905292479108635,0.0,True,True,False,False
14405a4e7669f737ae78.jpg,12,answer_1.png,D,AB,mixed_fp_fn,7012,6676,1547,2346,6795,5375,1547,1476,1.4290251539569812,1.4472029584642445,0.0,0.5013088537478783,True,True,False,False
14405a4e7669f737ae78.jpg,13,answer_1.png,C,ABC,false_positive,6985,6953,4602,1513,6795,5375,1547,1476,1.460643128695286,1.5849929448654299,1.804050609007648,0.012533875338753388,True,True,True,False
14405a4e7669f737ae78.jpg,15,answer_1.png,BD,C,mixed_fp_fn,7021,7021,7003,4402,6795,5375,1547,1476,0.2546126100284204,0.39109901419016724,1.9997601724784555,0.9911924119241192,False,False,True,False
